Best plan for sat CYG41886 (200000 rollouts)

time: 1, ***, bat. 89.99 % (eclipse)
time: 2, ***, bat. 89.98 % (eclipse)
time: 3, ***, bat. 89.96 % (eclipse)
time: 4, ***, bat. 89.95 % (eclipse)
time: 5, ***, bat. 89.94 % (eclipse)
time: 6, ***, bat. 89.93 % (eclipse)
time: 7, ***, bat. 89.91 % (eclipse)
time: 8, ***, bat. 89.9 % (eclipse)
time: 9, ***, bat. 89.89 % (eclipse)
time: 10, ***, bat. 89.88 % (eclipse)
time: 11, ***, bat. 89.86 % (eclipse)
time: 12, ***, bat. 89.85 % (eclipse)
time: 13, ***, bat. 89.84 % (eclipse)
time: 14, ***, bat. 89.83 % (eclipse)
time: 15, ***, bat. 89.82 % (eclipse)
time: 16, ***, bat. 89.8 % (eclipse)
time: 17, ***, bat. 89.79 % (eclipse)
time: 18, ***, bat. 89.78 % (eclipse)
time: 19, ***, bat. 89.77 % (eclipse)
time: 20, ***, bat. 89.75 % (eclipse)
time: 21, ***, bat. 89.74 % (eclipse)
time: 22, ***, bat. 89.73 % (eclipse)
time: 23, ***, bat. 89.72 % (eclipse)
time: 24, ***, bat. 89.7 % (eclipse)
time: 25, ***, bat. 89.69 % (eclipse)
time: 26, ***, bat. 89.68 % (eclipse)
time: 27, ***, bat. 89.67 % (eclipse)
time: 28, ***, bat. 89.66 % (eclipse)
time: 29, ***, bat. 89.64 % (eclipse)
time: 30, ***, bat. 89.63 % (eclipse)
time: 31, ***, bat. 89.62 % (eclipse)
time: 32, ***, bat. 89.61 % (eclipse)
time: 33, ***, bat. 89.59 % (eclipse)
time: 34, ***, bat. 89.58 % (eclipse)
time: 35, ***, bat. 89.57 % (eclipse)
time: 36, ***, bat. 89.56 % (eclipse)
time: 37, ***, bat. 89.54 % (eclipse)
time: 38, ***, bat. 89.53 % (eclipse)
time: 39, ***, bat. 89.52 % (eclipse)
time: 40, ***, bat. 89.51 % (eclipse)
time: 41, ***, bat. 89.5 % (eclipse)
time: 42, ***, bat. 89.48 % (eclipse)
time: 43, ***, bat. 89.47 % (eclipse)
time: 44, ***, bat. 89.46 % (eclipse)
time: 45, ***, bat. 89.45 % (eclipse)
time: 46, ***, bat. 89.43 % (eclipse)
