lat [deg],lon [deg]
41.908,-80.0
41.908,-79.537
41.908,-79.075
41.908,-78.612
41.908,-78.149
41.908,-77.686
41.908,-77.224
41.908,-76.761
41.908,-76.298
41.908,-75.835
41.908,-75.373
41.908,-74.91
41.908,-74.447
41.908,-73.985
41.908,-73.522
41.908,-73.059
41.908,-72.596
41.908,-72.134
41.908,-71.671
41.908,-71.208
41.908,-70.746
41.908,-70.283
41.565,-80.0
41.565,-79.54
41.565,-79.079
41.565,-78.619
41.565,-78.159
41.565,-77.698
41.565,-77.238
41.565,-76.777
41.565,-76.317
41.565,-75.857
41.565,-75.396
41.565,-74.936
41.565,-74.476
41.565,-74.015
41.565,-73.555
41.565,-73.095
41.565,-72.634
41.565,-72.174
41.565,-71.714
41.565,-71.253
41.565,-70.793
41.565,-70.332
41.221,-80.0
41.221,-79.542
41.221,-79.084
41.221,-78.626
41.221,-78.168
41.221,-77.71
41.221,-77.252
41.221,-76.794
41.221,-76.336
41.221,-75.878
41.221,-75.42
41.221,-74.962
41.221,-74.504
41.221,-74.046
41.221,-73.588
41.221,-73.13
41.221,-72.672
41.221,-72.214
41.221,-71.756
41.221,-71.298
41.221,-70.84
41.221,-70.382
40.878,-80.0
40.878,-79.544
40.878,-79.089
40.878,-78.633
40.878,-78.177
40.878,-77.722
40.878,-77.266
40.878,-76.81
40.878,-76.354
40.878,-75.899
40.878,-75.443
40.878,-74.987
40.878,-74.532
40.878,-74.076
40.878,-73.62
40.878,-73.165
40.878,-72.709
40.878,-72.253
40.878,-71.797
40.878,-71.342
40.878,-70.886
40.878,-70.43
40.534,-80.0
40.534,-79.547
40.534,-79.094
40.534,-78.642
40.534,-78.189
40.534,-77.736
40.534,-77.283
40.534,-76.83
40.534,-76.377
40.534,-75.925
40.534,-75.472
40.534,-75.019
40.534,-74.566
40.534,-74.113
40.534,-73.66
40.534,-73.208
40.534,-72.755
40.534,-72.302
40.534,-71.849
40.534,-71.396
40.534,-70.943
40.534,-70.491
40.534,-70.038
40.191,-80.0
40.191,-79.549
40.191,-79.099
40.191,-78.648
40.191,-78.198
40.191,-77.747
40.191,-77.297
40.191,-76.846
40.191,-76.395
40.191,-75.945
40.191,-75.494
40.191,-75.044
40.191,-74.593
40.191,-74.143
40.191,-73.692
40.191,-73.242
40.191,-72.791
40.191,-72.34
40.191,-71.89
40.191,-71.439
40.191,-70.989
40.191,-70.538
40.191,-70.088
39.847,-80.0
39.847,-79.552
39.847,-79.103
39.847,-78.655
39.847,-78.207
39.847,-77.758
39.847,-77.31
39.847,-76.862
39.847,-76.413
39.847,-75.965
39.847,-75.517
39.847,-75.068
39.847,-74.62
39.847,-74.172
39.847,-73.724
39.847,-73.275
39.847,-72.827
39.847,-72.379
39.847,-71.93
39.847,-71.482
39.847,-71.034
39.847,-70.585
39.847,-70.137
39.504,-80.0
39.504,-79.554
39.504,-79.108
39.504,-78.662
39.504,-78.216
39.504,-77.77
39.504,-77.323
39.504,-76.877
39.504,-76.431
39.504,-75.985
39.504,-75.539
39.504,-75.093
39.504,-74.647
39.504,-74.201
39.504,-73.755
39.504,-73.309
39.504,-72.862
39.504,-72.416
39.504,-71.97
39.504,-71.524
39.504,-71.078
39.504,-70.632
39.504,-70.186
39.16,-80.0
39.16,-79.556
39.16,-79.112
39.16,-78.668
39.16,-78.224
39.16,-77.781
39.16,-77.337
39.16,-76.893
39.16,-76.449
39.16,-76.005
39.16,-75.561
39.16,-75.117
39.16,-74.673
39.16,-74.229
39.16,-73.785
39.16,-73.342
39.16,-72.898
39.16,-72.454
39.16,-72.01
39.16,-71.566
39.16,-71.122
39.16,-70.678
39.16,-70.234
38.817,-80.0
38.817,-79.558
38.817,-79.117
38.817,-78.675
38.817,-78.233
38.817,-77.791
38.817,-77.35
38.817,-76.908
38.817,-76.466
38.817,-76.025
38.817,-75.583
38.817,-75.141
38.817,-74.699
38.817,-74.258
38.817,-73.816
38.817,-73.374
38.817,-72.933
38.817,-72.491
38.817,-72.049
38.817,-71.607
38.817,-71.166
38.817,-70.724
38.817,-70.282
38.473,-80.0
38.473,-79.56
38.473,-79.12
38.473,-78.68
38.473,-78.24
38.473,-77.8
38.473,-77.359
38.473,-76.919
38.473,-76.479
38.473,-76.039
38.473,-75.599
38.473,-75.159
38.473,-74.719
38.473,-74.279
38.473,-73.839
38.473,-73.399
38.473,-72.958
38.473,-72.518
38.473,-72.078
38.473,-71.638
38.473,-71.198
38.473,-70.758
38.473,-70.318
38.13,-80.0
38.13,-79.562
38.13,-79.124
38.13,-78.686
38.13,-78.248
38.13,-77.81
38.13,-77.372
38.13,-76.934
38.13,-76.496
38.13,-76.058
38.13,-75.62
38.13,-75.182
38.13,-74.745
38.13,-74.307
38.13,-73.869
38.13,-73.431
38.13,-72.993
38.13,-72.555
38.13,-72.117
38.13,-71.679
38.13,-71.241
38.13,-70.803
38.13,-70.365
37.786,-80.0
37.786,-79.564
37.786,-79.128
37.786,-78.692
37.786,-78.257
37.786,-77.821
37.786,-77.385
37.786,-76.949
37.786,-76.513
37.786,-76.077
37.786,-75.642
37.786,-75.206
37.786,-74.77
37.786,-74.334
37.786,-73.898
37.786,-73.462
37.786,-73.027
37.786,-72.591
37.786,-72.155
37.786,-71.719
37.786,-71.283
37.786,-70.847
37.786,-70.412
37.443,-80.0
37.443,-79.566
37.443,-79.133
37.443,-78.699
37.443,-78.265
37.443,-77.831
37.443,-77.398
37.443,-76.964
37.443,-76.53
37.443,-76.096
37.443,-75.663
37.443,-75.229
37.443,-74.795
37.443,-74.361
37.443,-73.928
37.443,-73.494
37.443,-73.06
37.443,-72.627
37.443,-72.193
37.443,-71.759
37.443,-71.325
37.443,-70.892
37.443,-70.458
37.443,-70.024
37.099,-80.0
37.099,-79.568
37.099,-79.137
37.099,-78.705
37.099,-78.273
37.099,-77.842
37.099,-77.41
37.099,-76.978
37.099,-76.547
37.099,-76.115
37.099,-75.683
37.099,-75.252
37.099,-74.82
37.099,-74.388
37.099,-73.957
37.099,-73.525
37.099,-73.094
37.099,-72.662
